customer_id,staff_id,rental_id,amount,payment_date
269,1,98,0.99,2022-01-29T01:58:52.222594+00:00
274,1,147,2.99,2022-01-25T12:14:16.895377+00:00
297,2,143,0.99,2022-01-28T00:49:49.128218+00:00
344,2,157,2.99,2022-01-31T05:58:51.176578+00:00
348,2,821,0.99,2022-01-26T16:52:41.359433+00:00
357,2,945,0.99,2022-01-24T00:39:09.052005+00:00
369,1,31,4.99,2022-01-31T00:12:16.422091+00:00
372,1,617,2.99,2022-01-29T12:51:46.565326+00:00
373,2,257,4.99,2022-01-29T05:33:33.142744+00:00
379,2,209,4.99,2022-01-30T23:02:06.818362+00:00
397,2,1002,0.99,2022-01-28T13:25:14.841952+00:00
409,1,310,6.99,2022-01-25T01:57:07.766857+00:00
411,2,972,1.99,2022-01-31T11:12:57.610606+00:00
416,2,724,3.99,2022-01-24T04:59:03.204053+00:00
419,1,62,2.99,2022-01-29T09:48:28.376954+00:00
432,2,326,7.99,2022-01-28T01:42:25.075477+00:00
437,1,192,2.99,2022-01-24T17:03:14.157666+00:00
437,1,666,5.99,2022-01-29T22:26:14.302644+00:00
457,2,1024,7.99,2022-01-25T04:27:19.820601+00:00
464,2,373,1.99,2022-01-26T23:25:52.226731+00:00
468,2,101,6.99,2022-01-28T20:21:03.857629+00:00
489,2,513,2.99,2022-01-28T04:47:04.957501+00:00
515,2,187,8.99,2022-01-29T08:03:30.047386+00:00
528,2,472,0.99,2022-01-26T03:43:15.130965+00:00
546,1,197,5.99,2022-01-26T04:40:52.164582+00:00
549,2,852,4.99,2022-01-31T17:59:37.587453+00:00
582,1,281,0.99,2022-01-26T06:24:18.457849+00:00
594,1,1045,6.99,2022-01-30T04:32:24.000007+00:00
203,1,314,0.99,2022-01-28T00:22:36.913361+00:00
3,1,830,2.99,2022-01-23T17:24:52.109704+00:00
5,1,1142,1.99,2022-01-27T10:15:27.766413+00:00
16,1,335,3.99,2022-01-23T20:35:04.736603+00:00
19,2,696,2.99,2022-01-24T04:55:04.465099+00:00
21,1,260,3.99,2022-01-23T19:39:48.158080+00:00
21,2,463,3.99,2022-01-27T23:12:57.558291+00:00
58,1,230,0.99,2022-01-28T04:32:46.647228+00:00
60,1,318,4.99,2022-01-29T01:46:18.217762+00:00
64,1,587,0.99,2022-01-29T04:52:32.288355+00:00
69,2,765,1.99,2022-01-29T04:38:06.311495+00:00
77,1,419,1.99,2022-01-29T06:27:31.455384+00:00
83,2,222,0.99,2022-01-31T22:15:03.268858+00:00
83,2,950,0.99,2022-01-31T20:32:34.114471+00:00
88,2,36,2.99,2022-01-24T02:45:54.820069+00:00
146,2,762,7.99,2022-01-25T11:58:02.018740+00:00
154,2,865,7.99,2022-01-27T04:34:41.615317+00:00
174,1,41,5.99,2022-01-26T18:33:16.330945+00:00
176,1,553,3.99,2022-01-29T14:58:04.749257+00:00
217,2,828,2.99,2022-01-26T06:36:40.672488+00:00
220,1,480,3.99,2022-01-26T23:02:27.359434+00:00
223,2,524,2.99,2022-01-23T15:28:46.388149+00:00
241,1,627,7.99,2022-01-29T17:46:57.785609+00:00
266,1,86,1.99,2022-01-28T18:58:02.018945+00:00
284,1,1171,0.99,2022-01-25T01:27:54.217882+00:00
285,2,1302,3.99,2022-01-29T06:02:18.549386+00:00
286,1,1690,8.99,2022-01-28T16:14:04.070713+00:00
290,2,1496,4.99,2022-01-25T01:07:53.953561+00:00
292,2,2258,3.99,2022-01-29T19:21:55.755158+00:00
293,2,1860,4.99,2022-01-27T23:10:40.988978+00:00
295,1,1328,2.99,2022-01-23T18:20:08.440348+00:00
295,1,2054,2.99,2022-01-23T13:43:42.505434+00:00
295,1,2638,1.99,2022-01-29T22:23:14.790339+00:00
303,1,3107,2.99,2022-01-30T01:50:21.310571+00:00
304,2,2902,4.99,2022-01-24T22:49:48.948734+00:00
318,2,3376,7.99,2022-01-29T10:47:43.644651+00:00
322,1,2983,7.99,2022-01-25T19:07:24.992406+00:00
322,2,3413,8.99,2022-01-28T05:07:02.442022+00:00
329,2,3053,0.99,2022-01-31T07:03:12.949200+00:00
333,1,1667,2.99,2022-01-30T08:25:30.189577+00:00
339,2,1432,3.99,2022-01-24T15:07:12.873890+00:00
339,1,1536,4.99,2022-01-26T05:32:55.013930+00:00
340,1,1697,3.99,2022-01-31T11:10:25.800622+00:00
341,1,3382,5.99,2022-01-30T12:39:17.919738+00:00
360,2,1492,0.99,2022-01-26T14:24:50.296376+00:00
366,2,2214,0.99,2022-01-26T01:43:22.116339+00:00
368,2,3275,4.99,2022-01-26T10:19:47.778411+00:00
385,1,3105,0.99,2022-01-29T22:01:24.157019+00:00
386,2,1585,3.99,2022-01-26T15:38:44.367328+00:00
392,2,2890,4.99,2022-01-31T00:41:09.532292+00:00
398,2,3141,9.99,2022-01-24T12:31:08.469382+00:00
411,2,1997,2.99,2022-01-28T03:05:52.012455+00:00
424,1,3166,6.99,2022-01-27T01:45:01.808857+00:00
426,1,2204,2.99,2022-01-25T07:28:48.956372+00:00
434,1,1225,0.99,2022-01-30T10:17:40.134298+00:00
437,2,3265,2.99,2022-01-28T09:13:39.904168+00:00
438,2,1779,0.99,2022-01-25T02:32:26.207845+00:00
439,1,2992,2.99,2022-01-25T19:12:35.124342+00:00
449,1,2348,0.99,2022-01-23T15:20:02.390905+00:00
450,2,2278,0.99,2022-01-31T09:18:37.530517+00:00
451,1,1202,0.99,2022-01-31T00:33:53.515156+00:00
451,1,1940,6.99,2022-01-31T20:19:41.053708+00:00
453,2,2887,4.99,2022-01-24T01:35:12.665382+00:00
454,2,1844,7.99,2022-01-25T09:54:51.364450+00:00
455,2,2356,0.99,2022-01-31T07:22:13.073352+00:00
457,2,1727,0.99,2022-01-23T21:26:40.481358+00:00
457,1,2762,3.99,2022-01-26T15:52:06.066477+00:00
459,2,3045,0.99,2022-01-26T13:35:07.808117+00:00
463,1,3309,4.99,2022-01-24T17:42:39.997128+00:00
468,1,1821,2.99,2022-01-25T19:14:02.390989+00:00
468,2,2462,4.99,2022-01-29T18:30:23.234361+00:00
478,2,2358,4.99,2022-01-29T09:04:26.187969+00:00
489,1,2802,4.99,2022-01-27T18:48:13.833307+00:00
497,2,2818,4.99,2022-01-24T12:32:43.466888+00:00
500,1,1375,5.99,2022-01-28T04:06:57.113409+00:00
506,2,2824,6.99,2022-01-30T22:54:20.047456+00:00
513,2,2290,7.99,2022-01-24T20:49:35.843508+00:00
513,2,2737,1.99,2022-01-24T19:44:51.809898+00:00
516,2,1159,4.99,2022-01-29T23:37:02.900724+00:00
523,2,1729,6.99,2022-01-28T22:25:38.508245+00:00
535,1,1712,4.99,2022-01-29T05:58:55.481946+00:00
546,2,1403,0.99,2022-01-24T03:06:27.214668+00:00
559,1,2706,0.99,2022-01-28T16:19:35.594334+00:00
561,1,2950,4.99,2022-01-27T18:57:32.453461+00:00
576,1,2651,3.99,2022-01-26T10:47:47.387881+00:00
581,1,2137,4.99,2022-01-23T21:55:59.088886+00:00
202,1,1474,2.99,2022-01-30T22:45:24.899702+00:00
202,2,3148,0.99,2022-01-29T21:46:30.676485+00:00
3,1,2628,2.99,2022-01-26T01:58:25.925938+00:00
7,1,3007,0.99,2022-01-29T09:59:18.317340+00:00
10,1,1801,4.99,2022-01-28T02:03:15.345708+00:00
12,2,2434,5.99,2022-01-23T16:29:32.179976+00:00
12,2,3135,2.99,2022-01-30T14:39:52.562800+00:00
22,1,3419,2.99,2022-01-31T08:52:10.794939+00:00
23,1,2827,0.99,2022-01-30T20:09:06.917455+00:00
23,1,3015,5.99,2022-01-26T06:07:04.040097+00:00
29,2,2923,2.99,2022-01-25T21:41:54.235054+00:00
30,2,1895,2.99,2022-01-30T14:18:57.334688+00:00
45,2,2722,4.99,2022-01-29T19:28:49.624839+00:00
49,2,1777,6.99,2022-01-29T12:27:18.035445+00:00
57,2,2910,7.99,2022-01-31T12:32:20.581604+00:00
62,1,3327,3.99,2022-01-30T00:22:15.955736+00:00
68,2,2662,4.99,2022-01-31T17:24:13.637965+00:00
68,1,2686,2.99,2022-01-30T12:37:08.915745+00:00
86,1,2518,4.99,2022-01-23T20:13:05.618859+00:00
88,1,2878,2.99,2022-01-28T22:32:01.846378+00:00
91,1,2457,3.99,2022-01-31T13:29:22.157965+00:00
92,2,2084,4.99,2022-01-25T21:52:26.595086+00:00
108,2,1372,4.99,2022-01-30T01:01:07.306069+00:00
108,1,2061,8.99,2022-01-24T22:31:23.915378+00:00
108,1,2210,2.99,2022-01-29T19:35:47.175956+00:00
109,2,1891,3.99,2022-01-25T07:41:11.189764+00:00
111,1,1593,6.99,2022-01-29T19:14:49.242691+00:00
130,1,2982,6.99,2022-01-24T22:43:06.046054+00:00
131,1,1646,9.99,2022-01-26T09:34:23.882543+00:00
141,2,2895,7.99,2022-01-25T22:37:06.810390+00:00
150,2,3187,1.99,2022-01-26T11:17:47.357714+00:00
150,1,3456,5.99,2022-01-27T14:39:07.386127+00:00
160,2,2314,4.99,2022-01-23T18:59:33.993546+00:00
161,1,1856,2.99,2022-01-25T02:06:37.905640+00:00
162,2,1339,4.99,2022-01-27T18:53:56.962439+00:00
167,1,1416,3.99,2022-01-27T20:14:47.743417+00:00
172,2,1507,0.99,2022-01-23T13:57:04.087741+00:00
173,1,3336,4.99,2022-01-26T23:12:03.475988+00:00
174,2,3446,1.99,2022-01-26T19:26:32.324719+00:00
176,1,1741,7.99,2022-01-23T18:47:31.765476+00:00
176,1,2181,8.99,2022-01-29T12:32:26.254296+00:00
178,1,1292,6.99,2022-01-26T13:46:39.760658+00:00
178,1,2293,4.99,2022-01-27T02:49:56.776826+00:00
180,1,2798,2.99,2022-01-23T13:24:17.906429+00:00
182,1,2234,0.99,2022-01-31T15:17:31.897094+00:00
