payment_id,customer_id,staff_id,rental_id,amount,payment_date
16050,269,2,7,1.99,2022-06-21T08:41:50.707316+01
16051,269,2,7,1.99,2022-06-21T08:41:50.707316+01
16052,269,2,678,6.99,2022-06-26T23:37:21.783785+01
16053,269,2,703,0.99,2022-03-02T19:51:40.813503+00:00
16054,269,1,750,4.99,2022-06-02T04:29:53.30199+01
16055,269,2,1099,2.99,2022-05-20T16:54:02.174545+01
16056,270,1,193,1.99,2022-02-03T01:49:30.663659+00:00
16057,270,1,1040,4.99,2022-05-11T10:27:17.752545+01
16058,271,1,1096,8.99,2022-03-19T06:19:47.019162+00:00
16059,272,1,33,0.99,2022-03-12T13:32:36.628975+00:00
16060,272,1,405,6.99,2022-03-18T01:40:43.327915+00:00
16061,272,1,1041,6.99,2022-07-19T07:32:02.911937+01
16062,272,1,1072,0.99,2022-06-15T02:19:29.001208+01
16063,273,2,122,3.99,2022-03-14T12:07:41.127016+00:00
16064,273,2,980,0.99,2022-07-07T08:15:37.160099+01
16065,273,2,980,0.99,2022-07-07T08:15:37.160099+01
16066,274,1,208,4.99,2022-04-15T13:28:07.452161+01
16067,274,2,301,2.99,2022-05-11T04:38:43.477404+01
16068,274,1,394,5.99,2022-05-04T08:27:05.030262+01
16069,274,2,474,2.99,2022-04-27T19:46:10.151444+01
16070,274,1,892,4.99,2022-05-15T06:32:14.136295+01
16071,275,2,336,2.99,2022-07-04T10:47:03.440928+01
16072,276,1,736,3.99,2022-07-11T05:46:45.091689+01
16073,276,1,860,10.99,2022-06-03T21:10:31.235993+01
16074,277,2,308,6.99,2022-04-04T11:51:07.496345+01
16075,278,1,1092,4.99,2022-02-14T16:08:09.981165+00:00
16076,279,1,979,2.99,2022-07-24T11:07:49.460456+01
16077,279,2,1019,0.99,2022-02-09T21:43:26.740315+00:00
16078,280,1,1014,4.99,2022-02-06T00:01:36.023609+00:00
16079,281,2,650,2.99,2022-05-21T02:41:55.279066+01
16080,281,2,754,2.99,2022-03-02T12:08:01.606714+00:00
16081,282,2,48,1.99,2022-03-13T14:36:24.380750+00:00
16082,282,2,282,6.99,2022-06-16T23:40:15.876421+01
16083,282,2,564,0.99,2022-05-14T12:24:41.513452+01
16084,284,2,423,0.99,2022-05-28T16:14:23.196325+01
16085,284,2,791,0.99,2022-05-15T14:50:04.749639+01
16086,284,1,1145,6.99,2022-05-22T02:07:51.171344+01
16087,286,2,81,6.99,2022-06-13T12:45:57.632947+01
16088,287,2,498,0.99,2022-06-02T00:42:21.196221+01
16089,287,1,655,2.99,2022-03-10T04:13:27.721005+00:00
16090,287,2,964,2.99,2022-06-24T19:34:14.628273+01
16091,288,2,93,3.99,2022-04-26T11:18:58.440363+01
16092,288,2,427,6.99,2022-04-05T14:22:55.687336+01
16093,288,1,503,4.99,2022-05-06T06:18:49.065148+01
16094,288,2,565,5.99,2022-07-14T16:55:31.352314+01
16095,290,1,160,2.99,2022-07-18T19:44:37.9813+01
16096,291,1,54,4.99,2022-05-26T02:34:44.655616+01
16097,291,2,747,4.99,2022-04-06T00:50:05.282763+01
16098,291,1,1012,2.99,2022-06-13T22:32:26.747244+01
16099,292,1,324,0.99,2022-05-26T17:31:55.427737+01
16100,293,2,445,0.99,2022-03-01T04:28:36.945325+00:00
16101,293,1,924,4.99,2022-05-20T07:57:45.099138+01
16102,293,2,1034,8.99,2022-07-20T17:20:24.393304+01
16103,294,1,595,1.99,2022-02-02T05:00:37.577890+00:00
16104,295,2,371,3.99,2022-06-13T16:43:37.699961+01
16105,296,2,162,4.99,2022-04-21T23:14:50.79075+01
16106,296,1,511,5.99,2022-04-18T07:28:00.951682+01
16107,296,1,869,4.99,2022-02-07T13:43:52.208634+00:00
16108,296,2,956,2.99,2022-07-06T04:43:27.375499+01
16109,296,2,956,2.99,2022-07-06T04:43:27.375499+01
16110,297,1,954,3.99,2022-04-23T04:59:08.79475+01
16111,298,1,383,3.99,2022-04-11T11:42:36.51958+01
16112,299,1,332,5.99,2022-03-21T06:44:47.428768+00:00
16113,299,2,606,8.99,2022-06-14T03:54:29.039214+01
16114,300,2,457,0.99,2022-07-05T06:02:05.370807+01
16115,300,1,780,3.99,2022-04-15T09:51:41.751406+01
16116,300,1,1111,4.99,2022-07-14T05:55:30.951321+01
16117,301,2,27,4.99,2022-06-28T11:16:51.20069+01
16118,301,2,227,5.99,2022-04-17T10:00:39.810165+01
16119,301,1,955,0.99,2022-03-22T04:00:36.948616+00:00
